pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
1	2	20190704	2	2.0	2.0	1.0	2.0
2	2	20190703	1	2.0	2.0	2.0	2.0
2	1	20190702	3	2.38	0.5	2.5	0.5
1	3	20190701	1	2.25	1.0	2.5	1.0
3	1	20190629	2	2.12	1.5	2.0	1.5
1	2	20190628	1	2.12	1.5	2.0	1.5
2	1	20190627	1	2.29	1.33	2.0	1.0
1	1	20190626	1	2.43	1.0	2.0	0.0
1	1	20190625	1	2.71	0.33	3.0	0.0
1	1	20190624	1	2.83	0.75	2.5	0.5
1	1	20190622	2	2.5	1.25	2.0	0.5
1	2	20190621	3	2.71	0.33	2.0	0.0
2	3	20190620	1	2.71	0.33	2.0	0.0
3	1	20190619	2	2.83	0.75	2.0	0.5
1	2	20190618	2	2.83	0.75	2.5	0.5
2	2	20190617	1	2.67	1.0	2.5	0.5
2	1	20190615	1	3.0	1.0	3.0	1.0
1	1	20190614	3	2.8	1.2	3.0	1.0
1	3	20190613	2	2.33	1.5	2.0	1.0
3	2	20190612	2	2.17	1.75	1.5	1.5
2	2	20190611	4	2.17	1.75	2.0	1.5
2	4	20190610	1	2.0	2.0	2.0	2.0
4	1	20190608	1	2.5	1.25	2.0	1.5
1	1	20190607	2	3.0	1.0	3.0	1.0
1	2	20190606	4	2.67	1.0	2.5	1.0
2	4	20190605	3	2.67	1.0	2.5	1.0
4	3	20190604	1	2.57	0.67	3.0	0.0
3	1	20190603	1	2.43	1.0	2.0	1.0
1	1	20190601	2	2.33	1.5	2.0	1.5
1	2	20190531	1	2.17	1.75	2.0	2.0
2	1	20190530	1	2.33	1.5	2.0	1.5
1	1	20190529	4	2.4	1.6	2.0	2.0
1	4	20190528	3	2.17	1.75	2.0	1.5
4	3	20190527	1	1.86	2.33	2.0	2.0
3	1	20190525	2	2.0	2.0	2.0	2.0
1	2	20190524	2	2.14	1.67	2.0	2.0
2	2	20190523	2	2.14	1.67	2.0	2.0
2	2	20190522	1	2.12	1.5	2.0	1.5
2	1	20190521	1	2.38	0.5	2.0	0.5
1	1	20190520	2	2.57	0.67	2.0	1.0
1	2	20190518	1	2.38	0.5	2.0	0.5
2	1	20190517	2	2.71	0.33	2.0	0.0
1	2	20190516	1	2.57	0.67	2.0	1.0
2	1	20190515	1	2.83	0.75	2.0	1.0
1	1	20190514	3	2.5	1.25	2.0	1.0
1	3	20190513	3	2.5	1.25	2.0	1.0
3	3	20190511	2	2.5	1.25	2.5	1.0
3	2	20190510	2	2.33	1.5	2.0	1.0
2	2	20190509	1	2.33	1.5	2.0	1.0
2	1	20190508	1	2.67	1.0	3.0	1.0
1	1	20190507	2	3.2	0.8	3.0	1.0
1	2	20190506	4	3.2	0.8	3.0	1.0
2	4	20190504	1	2.83	0.75	3.0	1.0
4	1	20190503	1	2.5	1.25	3.0	1.5
1	1	20190502	3	2.33	1.5	2.5	2.0
1	3	20190501	1	2.14	1.67	2.0	2.0
3	1	20190430	2	1.86	2.33	2.0	3.0
1	2	20190429	1	2.12	1.5	2.0	1.5
2	1	20190427	3	2.5	0.0	2.5	0.0
1	3	20190426	2	2.38	0.5	2.0	0.5
3	2	20190425	1	2.25	1.0	2.0	1.0
2	1	20190424	1	2.43	1.0	2.0	0.0
1	1	20190423	1	2.83	0.75	2.5	0.0
1	1	20190422	1	3.2	0.8	3.0	0.0
1	1	20190420	2	3.0	1.0	2.0	1.0
1	2	20190419	2	2.8	1.2	2.0	1.0
2	2	20190418	4	2.8	1.2	2.0	1.0
2	4	20190417	3	2.6	1.4	2.0	1.0
4	3	20190416	1	2.6	1.4	2.0	1.0
3	1	20190415	3	3.4	0.6	4.0	1.0
1	3	20190413	1	3.4	0.6	4.0	1.0
3	1	20190412	2	4.0	0.67	4.0	1.0
1	2	20190411	3	3.2	0.8	3.0	1.0
2	3	20190410	2	3.2	0.8	3.0	1.0
3	2	20190409	3	2.67	1.0	3.0	1.0
2	3	20190408	2	2.67	1.0	2.5	1.0
3	2	20190406	1	2.43	1.0	2.0	1.0
2	1	20190405	1	2.33	1.5	2.0	1.5
1	1	20190404	5	2.0	2.0	1.5	2.0
1	5	20190403	4	2.0	2.0	2.0	2.0
5	4	20190402	3	2.0	2.0	2.0	2.0
4	3	20190401	1	2.12	1.5	2.0	1.5
3	1	20190330	1	2.25	1.0	2.0	1.0
1	1	20190329	1	2.43	1.0	3.0	1.0
1	1	20190328	2	2.33	1.5	2.5	1.5
1	2	20190327	1	2.17	1.75	2.0	2.0
2	1	20190326	1	2.17	1.75	2.0	2.0
1	1	20190325	1	2.33	1.5	2.5	1.5
1	1	20190323	2	2.33	1.5	2.5	1.0
1	2	20190322	1	2.43	1.0	3.0	1.0
2	1	20190321	3	2.43	1.0	3.0	1.0
1	3	20190320	2	2.25	1.0	2.0	1.0
3	2	20190319	2	2.25	1.0	2.0	1.0
2	2	20190318	1	2.11	1.0	2.0	1.0
2	1	20190316	1	2.25	1.0	2.5	1.0
1	1	20190315	1	2.43	1.0	3.0	1.0
1	1	20190314	2	2.57	0.67	3.0	1.0
1	2	20190313	2	2.38	0.5	2.0	0.5
2	2	20190312	3	2.38	0.5	2.0	0.5
2	3	20190311	1	2.38	0.5	2.0	0.5
3	1	20190309	1	2.43	1.0	2.0	1.0
1	1	20190308	3	2.29	1.33	2.0	1.0
1	3	20190307	1	2.29	1.33	2.0	1.0
3	1	20190306	2	2.33	1.5	2.0	1.5
1	2	20190305	2	2.29	1.33	2.0	1.0
2	2	20190304	1	2.29	1.33	2.0	1.0
2	1	20190302	1	2.5	1.25	2.0	1.5
1	1	20190301	2	2.33	1.5	2.0	1.5
1	2	20190228	1	2.14	1.67	1.0	2.0
2	1	20190227	1	2.5	1.25	1.5	1.5
1	1	20190226	5	2.67	1.0	2.0	1.0
1	5	20190225	4	2.67	1.0	2.5	1.0
5	4	20190223	1	2.57	0.67	3.0	1.0
4	1	20190222	2	2.83	0.75	3.0	1.0
1	2	20190221	3	2.83	0.75	3.0	1.0
2	3	20190220	2	2.43	1.0	3.0	1.0
3	2	20190219	1	2.43	1.0	3.0	1.0
2	1	20190218	1	2.57	0.67	3.0	0.0
1	1	20190216	1	3.0	0.5	3.0	0.0
1	1	20190215	2	3.0	0.5	3.0	0.0
1	2	20190214	1	2.86	0.0	3.0	0.0
2	1	20190213	2	2.71	0.33	3.0	0.0
1	2	20190212	3	2.71	0.33	2.0	0.0
2	3	20190211	2	2.71	0.33	3.0	0.0
3	2	20190209	1	2.71	0.33	3.0	0.0
2	1	20190208	2	2.83	0.75	3.0	0.5
1	2	20190207	1	2.71	0.33	3.0	0.0
2	1	20190206	2	2.71	0.33	3.0	0.0
1	2	20190205	3	2.71	0.33	3.0	0.0
2	3	20190204	2	2.57	0.67	3.0	0.0
3	2	20190202	2	2.43	1.0	3.0	1.0
2	2	20190201	1	2.38	0.5	2.5	0.5
2	1	20190131	3	2.43	1.0	3.0	1.0
1	3	20190130	1	2.43	1.0	3.0	1.0
3	1	20190129	2	2.5	1.25	3.0	1.5
1	2	20190128	2	2.29	1.33	2.0	1.0
2	2	20190126	1	2.38	0.5	2.0	0.5
2	1	20190125	2	2.57	0.67	2.0	1.0
